tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X
0.28602671,-0.013163359,-0.11908252
0.27548482,-0.02605042,-0.11815167
0.27029822,-0.032613869,-0.11752018
0.27483295,-0.027847788,-0.12952716
0.27921995,-0.018620399,-0.11390197
0.27974586,-0.018271026,-0.10399988
0.27460055,-0.02503513,-0.11683085
0.27252874,-0.020954013,-0.11447249
0.2757457,-0.010371994,-0.09977589
0.27859589,-0.015231928,-0.098908415
0.27915178,-0.021879444,-0.10973077
0.27454383,-0.023145294,-0.1125396
0.26906631,-0.027685967,-0.11017794
0.27557925,-0.018936424,-0.097409776
0.28193083,-0.004880615,-0.086106145
0.31107792,-0.019430625,-0.10186634
0.26232825,-0.023257054,-0.12552494
0.28841575,-0.003485395,-0.083827858
0.27116593,-0.025972908,-0.094923481
0.25309467,-0.044192268,-0.13929762
0.27133883,-0.029954058,-0.11859533
0.29926682,0.011798517,-0.031653276
0.29389749,0.01115091,-0.069281198
0.27563911,-0.015565524,-0.1254582
0.27225459,-0.025051205,-0.13318432
0.27642711,-0.026277565,-0.12694133
0.28016952,-0.014362437,-0.10047145
0.27746102,-0.01584543,-0.10639347
0.28837469,-0.0085476599,-0.10705876
0.28590496,-0.0077447295,-0.10273652
0.29648714,-0.014684879,-0.13980848
0.27723542,-0.025677001,-0.11843072
0.2782907,-0.014536086,-0.10524253
0.27815992,-0.0076678258,-0.09927102
0.27664638,-0.0049748937,-0.104754
0.27829493,-0.022664347,-0.11591945
0.27505303,-0.024059404,-0.10589705
0.27486428,-0.01561837,-0.097528302
0.27871074,-0.016793927,-0.10524076
0.27822455,-0.016181738,-0.1075716
0.27625455,-0.016985093,-0.10885324
0.27574674,-0.015388072,-0.10505767
0.28028279,-0.019175262,-0.10932156
0.28540286,0.002355779,-0.16984868
0.27047249,-0.0089373643,-0.095150167
0.28022445,-0.028037933,-0.12428498
0.27724091,-0.01767369,-0.12039377
0.27925474,-0.012044574,-0.11526539
0.27981772,-0.010396061,-0.11320248
0.27579491,-0.034804666,-0.10983325
0.27379132,-0.041945691,-0.10724671
0.27609539,-0.018046144,-0.11243656
0.27767523,-0.012379484,-0.10466656
0.27679437,-0.017846957,-0.099866917
0.17376905,-0.024869125,-0.094733441
0.3009048,-0.023610414,-0.096890735
0.28567994,-0.021402652,-0.099788959
0.27205902,-0.021271356,-0.10063642
0.27631974,-0.017844672,-0.10385552
0.27869543,-0.017640511,-0.10511841
0.28026202,-0.018697516,-0.10968549
0.29238966,-0.014798532,-0.11487816
0.29089459,-0.012652477,-0.11315576
0.27191593,-0.019731212,-0.10278027
0.29301384,-0.01607838,-0.11018298
0.33999093,-0.039323711,-0.11380871
0.32773332,-0.012972104,-0.10934048
0.26238254,-0.020021626,-0.099674861
0.29490692,-0.017273605,-0.10855348
0.2673108,-0.017739291,-0.10418492
0.29493279,-0.018148994,-0.10870259
0.2843065,-0.017380345,-0.10824585
0.27747775,-0.017918468,-0.10552646
0.31454279,-0.015639484,-0.11205392
0.27616038,-0.018258159,-0.10492036
0.27628845,-0.020230299,-0.099639409
0.323685,-0.015714002,-0.11094539
0.27524826,-0.016467107,-0.11215011
0.20396243,-0.03234452,-0.096881229
0.24934321,-0.003410981,-0.056041574
0.32505052,-0.029803725,-0.077847175
0.30880812,-0.022128064,-0.13210431
0.26559921,-0.015936305,-0.12074953
0.18741915,-0.011533248,-0.10650963
0.28420274,0.013704674,-0.11395407
0.35782982,-0.013519015,-0.13127164
0.31870911,-0.037635508,-0.13241984
0.32008469,-0.010838647,-0.12170815
0.19317016,-0.010586551,-0.088769599
0.19471487,-0.020176701,-0.049544661
0.34969095,-0.030496088,-0.10829783
0.30870458,-0.024987159,-0.1238269
0.21102476,-0.00058166814,-0.096443768
0.29771925,-0.020939986,-0.11438786
0.33314426,-0.043446917,-0.12619938
0.22981714,-0.0026481752,-0.082070626
