tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X
0.27841883,-0.016410568,-0.12352019
0.27965306,-0.019467156,-0.11346169
0.27917394,-0.026200646,-0.12328257
0.27662877,-0.016569655,-0.11536185
0.27719877,-0.01009785,-0.10513725
0.27945388,-0.019640776,-0.11002215
0.27743247,-0.030488303,-0.12536043
0.27729342,-0.021750698,-0.12075082
0.28058569,-0.0099602983,-0.10606516
0.27688027,-0.012721805,-0.10343832
0.27622817,-0.021441302,-0.10820234
0.278457,-0.020414761,-0.11273172
0.27717497,-0.014712802,-0.10675647
0.29794572,0.027093908,-0.061668123
0.27920345,-0.023020143,-0.12208028
0.27903836,-0.014800378,-0.11684896
0.2801349,-0.013916951,-0.10637048
0.27773106,-0.018210718,-0.10918803
0.27556818,-0.016979698,-0.11142918
0.27756171,-0.014318487,-0.10787724
0.27715238,-0.017983328,-0.10660117
0.2756763,-0.021264234,-0.11080122
0.2792002,-0.017714427,-0.10916135
0.28171549,-0.011910678,-0.10287513
0.27899267,-0.014531029,-0.10659617
0.27573444,-0.01801884,-0.10677578
0.14450396,0.18926326,0.062769317
0.28725164,-0.037455064,-0.14597431
0.2799976,-0.019484036,-0.10572355
0.22184689,0.034107675,-0.12361242
-0.041701306,0.17510248,0.025551778
0.013903671,0.15329608,0.016242945
0.30368927,-0.0042428053,-0.15085028
0.29075969,-0.02403476,-0.11673889
0.27090823,-0.014412968,-0.10652245
0.2795534,-0.017001147,-0.11051668
0.27635864,-0.016138088,-0.10803259
0.23715407,0.0078251224,-0.12283791
0.2731084,0.0065181116,-0.10947182
0.28150539,-0.018434859,-0.11139287
0.27843225,-0.019654302,-0.10797029
0.2733796,-0.0099401064,-0.10839283
0.27905615,-0.01626097,-0.11281565
0.2785991,-0.019910142,-0.1111806
0.27328142,-0.011127209,-0.10634926
0.27853812,-0.016173432,-0.10970656
0.27746121,-0.017491016,-0.10635945
0.27394057,-0.013147584,-0.10543517
0.27930326,-0.020521383,-0.11323643
0.2790872,-0.019083242,-0.10588882
0.40347433,-0.015074404,-0.11816739
0.27837321,-0.020560964,-0.096824565
0.27655526,-0.01786855,-0.10762126
0.27957476,-0.017275722,-0.10948053
0.27652699,-0.0168191,-0.10798311
0.27812334,-0.017146303,-0.10801374
0.27800654,-0.01780317,-0.10896485
0.2802064,-0.01839626,-0.10748863
0.28182774,-0.018626474,-0.10527824
0.27672941,-0.017209548,-0.10563797
0.27588359,-0.016150309,-0.10882921
0.27783021,-0.017684054,-0.1057035
0.27937115,-0.017644953,-0.10818111
0.019016151,-0.0070373566,-0.028333356
0.3402085,-0.036452984,-0.10625819
-0.16642569,-0.11935251,0.13303497
-0.23910256,-0.096904391,0.14803461
0.34696848,0.069408647,-0.20082552
0.30383319,0.1036482,-0.24533103
-0.36120533,-0.26812111,0.17689637
-0.27706634,-0.68409659,0.34665772
0.2574765,-0.41386534,0.017374188
0.27683965,-0.02714766,-0.1231748
0.26865095,0.016430154,-0.10372571
0.28526329,-0.008888811,-0.10374518
0.28347732,-0.0075244582,-0.10928717
0.27302712,-0.010196757,-0.11115339
0.28202157,-0.037696218,-0.1348973
0.25584075,-0.064550029,-0.095186339
0.25486723,0.0038147234,-0.12365809
0.34337048,-0.014446221,-0.16737697
0.27623973,-0.029638413,-0.14261631
0.25546822,0.021219063,-0.048949431
0.32113983,0.0015817951,-0.043553705
0.2346659,-0.049547719,-0.11175723
0.31263404,-0.026367749,-0.13095121
0.2769154,-0.03548621,-0.080569176
0.20530739,-0.0085082782,-0.11964696
0.30699599,-0.01378698,-0.18016197
0.28151325,-0.040800898,-0.13467496
0.30388542,0.0027680377,-0.038613087
0.3541929,-0.012560935,-0.058680943
0.22229785,-0.018659683,-0.11718642
0.21448125,0.0099387454,-0.123073
0.32731657,-0.022255821,-0.1491439
0.3490591,-0.022003784,-0.15005217
0.26468173,-0.0085919266,-0.10297373
0.28431748,-0.027205815,-0.21230304
0.22172674,-0.02437697,-0.075076407
0.29097148,-0.027810418,-0.042982545
0.26108077,-0.015635621,-0.10258842
0.25242505,0.0062773455,-0.12518006
0.35878664,-0.016954505,-0.15477656
0.256935,-0.010577401,-0.10544192
0.29855414,0.00079445569,-0.040695674
0.30804575,-0.023300458,-0.07970154
0.20356167,-0.03050523,-0.13709513
0.28056095,-0.011424653,-0.15619795
0.33216933,-0.034585828,-0.15926922
0.28703017,-0.02723993,-0.11750002
0.30159413,-0.044653002,-0.081513949
0.24608919,-0.016175423,-0.11188336
0.29272439,-0.0021398385,-0.14034852
0.33156003,-0.0074950152,-0.13173868
0.20201055,-0.0090379452,-0.079095855
0.30363491,-0.014656769,-0.042613832
0.35919361,-0.018079718,-0.07234686
0.22442754,-0.031464353,-0.12726298
0.23995826,-0.0097107196,-0.12197022
0.28972747,0.01534272,-0.11667518
0.30830537,-0.019882845,-0.16044667
0.32746543,-0.03566696,-0.18182373
0.23841102,-0.023196389,-0.11255181
0.1801943,-0.017796846,-0.039347036
0.35845532,0.017975385,-0.084159118
0.30171512,-0.0070493914,-0.093681451
0.28155172,-0.016110289,-0.14009252
0.27395574,-0.022899292,-0.12725614
0.29995717,0.014082123,-0.082310404
0.26537379,-0.017156211,-0.13877347
0.27763311,-0.03726758,-0.10002093
0.26688016,-0.0023073023,-0.063727153
0.21070047,-0.005968762,-0.1095915
0.28521305,-0.020202459,-0.011024206
0.4699458,-0.033624109,-0.1412542
0.23528441,-0.014570467,-0.20841776
0.1669136,-0.03373288,-0.13334869
0.44562097,-0.011902709,-0.15116909
0.23179921,-0.0075220252,-0.055801013
0.28134949,-0.0007098312,-0.0086999005
0.36248249,-0.0035526939,-0.18104462
0.43503687,-0.0065917495,-0.082909932
0.35119884,0.021866728,-0.1494262
0.13046118,-0.05499692,-0.13178649
0.31277629,-0.050409373,-0.043028643
0.42595606,0.02456,-0.15095947
0.26749864,-0.018319479,-0.16901282
0.15439416,0.0016045166,-0.010548619
0.20535149,-0.0038073578,-0.032628831
0.18360372,-0.076558729,-0.0469561
0.27918273,-0.036965677,-0.13360426
0.30116241,-0.0017592965,-0.10683037
0.29341097,-0.018714518,-0.066159078
0.2303099,0.0021737117,-0.043103131
0.15851651,0.0042561454,-0.018779209
0.21524532,-0.032628002,-0.11896558
0.27147742,-0.030746091,-0.15623238
0.14085877,-0.068261729,-0.072115723
0.23145946,-0.013340312,-0.092367982
0.29569289,-0.017291,-0.099927816
0.34408292,-0.019665159,-0.14195199
0.33299252,-0.030312276,-0.11360054
0.31672153,-0.023908255,-0.1107584
0.27425493,-0.028953751,-0.15558324
0.26034404,-0.03367069,-0.12730182
0.27771111,-0.0089315038,-0.081181352
0.22622757,-0.053718943,-0.11252061
0.25960382,-0.018097161,-0.11447381
0.34402821,-0.035875128,-0.094238465
0.37052032,-0.008881052,-0.15190137
0.2732136,-0.012546631,-0.12786494
0.23124563,-0.0072225043,-0.034995546
0.25025528,0.0077234474,-0.058462756
0.23033751,-0.021806697,-0.11877561
0.22969556,-0.05216571,-0.11179085
0.26076161,-0.035370696,-0.13730782
0.28981703,-0.010751748,-0.11994169
0.28451133,-0.0085448131,-0.089976474
0.2852744,-0.0045132061,-0.1137861
0.27239664,-0.023659196,-0.11324183
0.26580577,-0.032762393,-0.11731189
0.278426,-0.017091944,-0.12529627
0.27942505,-0.014947411,-0.1101951
0.27526076,-0.016105674,-0.10343073
0.27687455,-0.018606634,-0.112972
0.2792417,-0.017290162,-0.11394039
0.27884783,-0.01531619,-0.10701234
0.27368218,-0.019975668,-0.10754792
0.27394901,-0.021795449,-0.11743596
0.32236308,0.034225504,-0.05735073
0.2745262,-0.025134082,-0.12251223
0.27380646,-0.019735938,-0.11988703
0.27664268,-0.016755348,-0.099381423
0.27436388,-0.023361777,-0.11033551
0.27475366,-0.020102285,-0.12120311
0.27872042,-0.014508176,-0.11530914
0.27938002,-0.01543831,-0.11126972
0.27734354,-0.01565033,-0.10844766
0.27796276,-0.015040946,-0.10639918
0.27997806,-0.015505193,-0.10621291
0.27970111,-0.015808416,-0.10892197
0.26297624,-0.00028737053,-0.17609097
0.29811757,-0.035646628,-0.11592994
0.27727452,-0.011693149,-0.10258892
0.27866687,-0.017999434,-0.11006327
0.27873199,-0.018106346,-0.10781649
0.27559191,-0.013962574,-0.10788811
0.27832678,-0.01757272,-0.10987181
0.27839415,-0.018437222,-0.1116638
0.27750957,-0.016333594,-0.10989482
0.27798405,-0.017867041,-0.10694863
0.27564442,-0.015470231,-0.10820759
0.39365355,-0.023633221,-0.12592376
0.31932383,-0.024865202,-0.099798821
0.27903686,-0.016669682,-0.10935435
0.2816654,-0.017570074,-0.11073427
0.27714164,-0.01806797,-0.11041766
0.27890115,-0.017814424,-0.10698796
0.27972834,-0.01600381,-0.1073364
0.27603949,-0.017357172,-0.10897656
0.27831632,-0.018048727,-0.10840311
0.27575263,-0.016788627,-0.10562315
0.27885089,-0.016544181,-0.10901088
0.28202074,-0.017589649,-0.10793379
0.31076307,0.018053586,-0.20554844
0.2645391,-0.019722322,-0.071903067
0.26963511,-0.0089314391,-0.089394709
0.27259354,-0.0057626503,-0.10852663
0.27682826,-0.016123297,-0.11023355
0.2761599,-0.01332633,-0.10596005
0.27575308,-0.010254163,-0.10953993
0.27790646,-0.017143471,-0.10985922
0.27554943,-0.014115159,-0.10899857
0.27778196,-0.015873588,-0.11050438
0.27725766,-0.014249297,-0.11220537
0.27426151,-0.012264695,-0.10949351
-0.066238871,0.07922905,-1.0
-0.083287063,0.010297707,-0.51608391
0.2591151,-0.017985103,-0.12024506
0.29230775,-0.00692865,-0.029339182
0.32588645,0.00081689933,0.016658077
0.30005315,-0.018087248,-0.10818389
0.28809417,-0.022759306,-0.13505802
0.27676588,-0.018060289,-0.12013176
0.24389788,-0.027628987,-0.18227212
0.18047854,-0.042535659,-0.28056106
0.20896421,-0.022742569,-0.16644945
0.25012584,-0.02268563,-0.064799659
0.27324282,0.0060649186,-0.088320786
0.34625374,-0.018934595,-0.071284752
0.32599307,-0.016638474,-0.05512912
0.27052,-0.016289773,-0.10293667
0.22667958,-0.036078863,-0.13872566
0.23948442,-0.017132916,-0.12317001
0.29542323,0.0030962138,-0.12756327
0.28051914,-0.018843872,-0.21913175
0.34708066,-0.037003662,-0.1313715
0.28375642,-0.025635447,-0.12219085
0.23285893,0.0060932862,-0.10962065
0.27194632,0.0038772773,-0.053688526
0.34859482,-0.0092913878,-0.048420161
0.32551283,-0.030425049,-0.090442602
0.21453672,-0.032810366,-0.1237505
0.22009445,-0.021543101,-0.15073743
0.28384717,-0.0030528987,-0.12795043
0.27305549,-0.018221127,-0.12811291
0.29286452,-0.040265291,-0.15077284
0.28562929,-0.033009184,-0.12127097
0.15618659,-0.049614593,-0.11290104
0.29644415,0.014086002,-0.010259465
0.39824941,0.027317684,-0.062956416
0.32858963,-0.023303338,-0.081835606
0.24003888,-0.017441822,-0.085922906
0.2784596,-0.023397895,-0.13045484
0.26682128,-0.018607495,-0.1298046
0.28656754,0.020619282,-0.092535898
0.30583985,-0.0021923253,-0.12497137
0.31035963,-0.054635143,-0.13912115
0.28772456,-0.038921811,-0.12101893
0.22003494,-0.0078731854,-0.10586088
0.23398475,0.0077570244,-0.087513687
0.24898582,-0.053664698,-0.25543912
0.22251789,-0.015582132,-0.10349692
0.22247974,-0.0062025184,-0.079425955
