,sexo,qtd_filhos,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau,posse_de_imovel_Y,posse_de_veiculo_Y
0,1,0,1,0,0,0,2.0,False,1,1
1,0,0,1,0,1,1,1.0,False,1,0
2,0,0,1,0,1,1,1.0,False,1,0
3,1,0,1,1,1,1,2.0,False,1,1
4,0,0,1,0,0,0,2.0,False,0,1
5,0,0,1,0,0,0,2.0,False,0,1
6,0,0,1,0,1,0,2.0,False,1,0
7,0,0,1,0,1,0,2.0,False,1,0
8,0,1,1,0,0,0,2.0,False,1,0
9,0,1,1,0,0,0,2.0,False,1,0
10,1,3,1,0,0,0,5.0,False,1,1
11,1,1,1,0,0,0,3.0,False,1,0
12,1,1,1,0,0,0,3.0,False,1,0
13,1,1,1,0,0,0,3.0,False,1,0
14,1,0,1,0,1,0,2.0,False,1,1
15,1,0,1,0,1,0,2.0,False,1,1
16,1,0,1,0,1,0,2.0,False,1,1
17,1,0,1,0,1,0,2.0,False,1,1
18,1,0,1,0,1,0,2.0,False,1,1
19,0,2,1,0,0,0,4.0,False,1,1
20,0,2,1,0,0,0,4.0,False,1,1
21,0,2,1,0,0,0,4.0,False,1,1
22,0,1,1,0,0,0,3.0,False,1,0
23,0,2,1,0,0,1,4.0,False,1,0
24,0,2,1,0,0,1,4.0,False,1,0
25,0,2,1,0,0,1,4.0,False,1,0
26,0,2,1,0,0,1,4.0,False,1,0
27,0,2,1,0,0,1,4.0,False,1,0
28,0,0,1,0,0,0,1.0,False,1,0
29,0,0,1,0,0,0,1.0,False,1,0
30,0,0,1,0,0,0,1.0,False,1,0
31,0,0,1,0,0,0,1.0,False,1,0
32,0,0,1,0,0,0,1.0,False,1,0
33,0,0,1,0,0,0,1.0,False,1,0
34,0,0,1,0,0,0,1.0,False,1,0
35,0,0,1,0,0,0,1.0,False,1,0
36,0,0,1,0,0,0,1.0,False,1,0
37,0,0,1,0,0,0,1.0,False,1,0
38,0,0,1,0,0,0,1.0,False,1,0
39,0,0,1,0,0,0,1.0,False,1,0
40,0,0,1,0,0,0,1.0,False,1,0
41,0,0,1,0,0,0,1.0,False,1,0
42,0,0,1,0,0,0,1.0,False,1,0
43,0,0,1,0,0,0,1.0,False,1,0
44,0,0,1,0,0,0,1.0,False,1,0
45,0,0,1,0,1,0,2.0,False,0,0
46,0,0,1,0,1,0,2.0,False,0,0
47,0,0,1,0,1,0,2.0,False,0,0
48,1,1,1,0,0,0,3.0,False,1,0
49,0,0,1,0,0,0,2.0,False,1,1
50,0,0,1,0,0,0,2.0,False,1,1
51,0,0,1,0,0,0,2.0,False,1,1
52,0,0,1,0,0,0,2.0,False,1,1
53,0,0,1,0,0,0,2.0,False,1,1
54,1,0,1,0,1,0,2.0,False,1,0
55,0,0,1,0,0,0,2.0,False,1,0
56,0,0,1,0,0,0,2.0,False,1,0
57,0,0,1,0,0,0,2.0,False,1,0
58,0,0,1,0,0,0,2.0,False,1,0
59,0,0,1,0,0,0,2.0,False,1,0
60,0,0,1,1,1,0,1.0,False,1,1
